datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,carbon_intensity_direct_avg,carbon_intensity_production_avg,carbon_intensity_discharge_avg,carbon_intensity_import_avg,total_production_avg,total_storage_avg,total_discharge_avg,total_import_avg,total_export_avg,total_consumption_avg,production_sources,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg,power_production_nuclear_avg,power_production_geothermal_avg,power_production_biomass_avg,power_production_coal_avg,power_production_wind_avg,power_production_solar_avg,power_production_hydro_avg,power_production_gas_avg,power_production_oil_avg,power_production_unknown_avg,power_consumption_nuclear_avg,power_consumption_geothermal_avg,power_consumption_biomass_avg,power_consumption_coal_avg,power_consumption_wind_avg,power_consumption_solar_avg,power_consumption_hydro_avg,power_consumption_gas_avg,power_consumption_oil_avg,power_consumption_unknown_avg,power_consumption_battery_discharge_avg,power_consumption_hydro_discharge_avg,power_net_discharge_battery_avg,power_net_discharge_hydro_avg,power_net_import_JP-CB_avg,carbon_intensity_exchange_JP-CB_avg,power_net_import_JP-TH_avg,carbon_intensity_exchange_JP-TH_avg,latest_forecasted_wind_x_avg,latest_forecasted_wind_y_avg,latest_forecasted_solar_avg,latest_forecasted_temperature_avg,latest_forecasted_dewpoint_avg,latest_forecasted_precipitation_avg,latest_forecasted_price_avg,latest_forecasted_production_avg,latest_forecasted_consumption_avg,latest_forecasted_power_net_import_JP-CB_avg,latest_forecasted_power_net_import_JP-TH_avg,latest_forecasted_production_solar_avg,latest_forecasted_production_wind_avg
2021-01-01 00:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2022-05-05T04:33:20.275036+00:00,1609459200.0,JP-TK,492.17,407.23,498.64,,460.73,26146.67,,,5376.67,0.0,31523.33,electricityMap Estimation,73.25,25.01,74.95,25.05,0.0,0.0,282.7,8805.83,174.45,4859.23,1232.14,9458.11,1334.22,0.0,548.42,16.57,376.84,10848.96,431.0,4977.33,2081.65,10705.5,1495.52,41.55,0.0,0.0,,,591.67,459.61,4785.0,460.86,5.46,0.13,44.44,276.55,267.71,2.16,28000.0,,,600.0,4654.5,,
2021-01-01 01:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-05-05T04:33:20.275036+00:00,1609462800.0,JP-TK,474.05,390.88,476.82,,460.72,25127.0,,,5216.33,0.0,30343.33,electricityMap Estimation,70.26,27.99,71.36,28.64,0.0,0.0,258.63,8056.02,181.38,5630.38,1127.22,8652.76,1220.61,0.0,532.07,16.07,349.96,10038.23,430.28,5744.96,1951.4,9862.95,1377.1,40.31,0.0,0.0,,,607.17,459.61,4609.17,460.86,5.54,-0.99,347.78,277.25,267.2,0.31,15000.0,,,600.0,4796.9,,
2021-01-01 02:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2022-05-05T04:33:20.275036+00:00,1609466400.0,JP-TK,461.94,379.72,462.18,,460.7,24571.33,,,4625.33,0.0,29196.67,electricityMap Estimation,68.31,30.08,68.93,31.07,0.0,0.0,244.33,7610.62,166.63,6157.37,1064.9,8174.37,1153.12,0.0,471.78,14.25,325.31,9368.25,387.33,6258.97,1795.7,9247.45,1291.88,35.74,0.0,0.0,,,597.83,459.61,4027.5,460.86,5.12,-1.25,398.89,277.79,266.67,0.73,9430.0,,,600.0,4561.3,,
2021-01-01 03:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2022-05-05T04:30:19.892325+00:00,1609470000.0,JP-TK,454.14,372.6,452.95,,460.7,23755.08,,,4330.75,0.0,28085.83,electricityMap Estimation,67.03,31.39,67.41,32.59,0.0,0.0,230.99,7195.07,161.47,6342.58,1006.76,7728.04,1090.16,0.0,441.74,13.34,306.82,8840.76,368.12,6437.71,1691.01,8732.78,1220.09,33.47,0.0,0.0,,,563.25,459.61,3767.5,460.86,4.86,-1.68,428.89,278.2,267.03,1.07,7330.0,,,600.0,3958.5,,
2021-01-01 04:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2022-05-05T04:33:13.941494+00:00,1609473600.0,JP-TK,460.5,378.66,460.46,,460.71,22578.58,,,4807.25,0.0,27385.83,electricityMap Estimation,68.0,30.21,68.65,31.35,0.0,0.0,223.58,6964.25,141.11,5739.87,974.46,7480.12,1055.19,0.0,490.34,14.81,307.75,8791.01,370.49,5845.46,1734.0,8595.41,1199.41,37.15,0.0,0.0,,,583.92,459.61,4223.33,460.86,4.08,-2.15,440.0,278.34,266.14,1.31,8150.0,,,539.0,3843.4,,
2021-01-01 05:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2022-05-05T04:33:20.275036+00:00,1609477200.0,JP-TK,475.37,392.49,479.07,,460.73,21605.33,,,5465.5,0.0,27070.83,electricityMap Estimation,70.36,27.58,71.72,28.28,0.0,0.0,223.52,6962.36,128.69,4783.58,974.19,7478.09,1054.9,0.0,557.48,16.84,319.21,9039.25,389.49,4903.63,1837.74,8746.08,1218.87,42.24,0.0,0.0,,,586.33,459.61,4879.17,460.86,3.44,-2.52,432.22,278.35,266.27,1.59,14790.0,,,600.0,4300.4,,
2021-01-01 06:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-05-05T04:33:20.275036+00:00,1609480800.0,JP-TK,496.25,411.17,504.56,,460.82,22506.58,,,5279.25,0.0,27785.83,electricityMap Estimation,73.85,24.22,75.93,24.07,0.0,0.0,246.5,7678.27,126.21,3970.82,1074.37,8247.03,1163.37,0.0,538.48,16.27,338.93,9684.39,378.11,4086.79,1908.49,9471.82,1321.75,40.8,0.0,0.0,,,166.75,459.61,5112.5,460.86,3.8,-1.77,403.33,278.54,266.94,1.88,20000.0,,,600.0,4902.7,,
2021-01-01 07:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2022-05-05T04:30:19.892325+00:00,1609484400.0,JP-TK,547.54,457.19,564.94,,460.76,24693.75,,,4952.92,0.0,29646.67,electricityMap Estimation,82.4,15.9,85.89,14.11,0.0,0.0,305.94,9529.84,100.03,1744.83,1333.44,10235.75,1443.92,0.0,505.2,15.26,392.66,11411.95,336.36,1853.63,2116.0,11384.83,1592.5,38.28,0.0,0.0,,,392.92,459.61,4560.0,460.86,2.78,-1.88,128.89,277.84,267.31,0.27,28000.0,,,600.0,4846.7,,
2021-01-01 08:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2022-05-05T04:33:20.275036+00:00,1609488000.0,JP-TK,584.1,489.92,605.4,,460.84,28165.58,,,4774.42,0.0,32940.0,electricityMap Estimation,88.5,10.0,92.56,7.44,0.0,0.0,376.07,11714.38,79.0,0.0,1639.11,12582.11,1774.91,0.0,495.0,14.95,460.0,13525.84,310.34,106.6,2401.3,13672.92,1915.55,37.5,0.0,0.0,,,14.42,517.32,4760.0,460.86,1.69,-1.9,72.22,276.6,267.6,0.56,48680.0,,,536.3,4325.3,,
2021-01-01 09:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2022-05-05T04:30:19.892325+00:00,1609491600.0,JP-TK,586.06,491.49,605.5,,460.86,29434.0,,,4556.67,56.5,33934.17,electricityMap Estimation,88.87,9.76,92.58,7.42,0.0,0.0,393.07,12243.94,77.74,0.0,1713.21,13150.9,1855.14,0.0,465.03,14.05,472.11,13951.88,295.13,100.15,2430.12,14182.27,1988.2,35.23,0.0,0.0,,,-56.5,567.71,4556.67,460.86,1.97,-1.52,46.67,276.41,268.16,0.9,50000.0,,,51.7,4388.2,,
