datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,carbon_intensity_direct_avg,carbon_intensity_production_avg,carbon_intensity_discharge_avg,carbon_intensity_import_avg,total_production_avg,total_storage_avg,total_discharge_avg,total_import_avg,total_export_avg,total_consumption_avg,production_sources,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg,power_production_nuclear_avg,power_production_geothermal_avg,power_production_biomass_avg,power_production_coal_avg,power_production_wind_avg,power_production_solar_avg,power_production_hydro_avg,power_production_gas_avg,power_production_oil_avg,power_production_unknown_avg,power_consumption_nuclear_avg,power_consumption_geothermal_avg,power_consumption_biomass_avg,power_consumption_coal_avg,power_consumption_wind_avg,power_consumption_solar_avg,power_consumption_hydro_avg,power_consumption_gas_avg,power_consumption_oil_avg,power_consumption_unknown_avg,power_consumption_battery_discharge_avg,power_consumption_hydro_discharge_avg,power_net_discharge_battery_avg,power_net_discharge_hydro_avg,power_net_import_MX-NE_avg,carbon_intensity_exchange_MX-NE_avg,power_net_import_MX-NO_avg,carbon_intensity_exchange_MX-NO_avg,power_net_import_US-CENT-SWPP_avg,carbon_intensity_exchange_US-CENT-SWPP_avg,latest_forecasted_wind_x_avg,latest_forecasted_wind_y_avg,latest_forecasted_solar_avg,latest_forecasted_temperature_avg,latest_forecasted_dewpoint_avg,latest_forecasted_precipitation_avg,latest_forecasted_price_avg,latest_forecasted_production_avg,latest_forecasted_consumption_avg,latest_forecasted_power_net_import_MX_avg,latest_forecasted_power_net_import_MX-NE_avg,latest_forecasted_power_net_import_MX-NO_avg,latest_forecasted_power_net_import_US-CENT-SWPP_avg,latest_forecasted_production_solar_avg,latest_forecasted_production_wind_avg
2021-01-01 00:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-05-05T04:29:32.707800+00:00,1609459200.0,US-TEX-ERCO,357.12,289.49,356.77,,397.98,49402.0,,,428.67,0.0,49830.67,eia.gov,60.88,28.78,60.93,28.69,5124.0,,,8037.0,14127.0,48.0,0.0,22050.0,,16.0,5150.4,0.09,0.62,8197.92,14271.71,48.63,22.67,22120.39,0.86,17.39,0.0,0.0,,,28.67,460.86,0.0,,400.0,393.48,2.18,-3.02,185.37,278.52,272.61,5.1,,,45419.0,,,,,,
2021-01-01 01:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-05-05T04:29:32.707800+00:00,1609462800.0,US-TEX-ERCO,354.64,288.18,354.59,,360.67,49989.0,,,400.0,14.45,50374.55,eia.gov,60.07,29.71,60.16,29.59,5125.0,,,8369.0,14791.0,1.0,0.0,21682.0,,21.0,5147.59,0.01,0.18,8502.53,14947.04,1.06,18.27,21735.39,0.08,22.4,0.0,0.0,,,-14.45,368.68,0.0,,400.0,360.02,2.13,-3.08,0.0,278.13,272.58,0.82,,,47881.0,,,,,,
2021-01-01 02:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2022-05-05T04:33:13.941494+00:00,1609466400.0,US-TEX-ERCO,338.41,273.35,338.35,,354.6,49287.0,,,179.0,16.5,49449.5,eia.gov,57.85,31.77,57.88,31.72,5125.0,,,7456.0,15591.0,0.0,42.0,21061.0,,12.0,5134.22,0.0,0.06,7512.88,15659.89,0.0,48.91,21080.89,0.0,12.65,0.0,0.0,,,-16.5,338.41,0.0,,179.0,354.6,2.1,-3.06,0.0,277.87,272.55,1.65,,,47945.0,,,,,,
2021-01-01 03:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2022-05-05T04:33:13.941494+00:00,1609470000.0,US-TEX-ERCO,331.85,266.56,331.84,,340.08,48319.0,,,47.0,18.92,48347.08,eia.gov,57.36,32.04,57.37,32.02,5125.0,,,6718.0,15447.0,0.0,27.0,20991.0,,11.0,5125.96,0.0,0.02,6730.24,15461.51,0.0,28.55,20989.63,0.0,11.19,0.0,0.0,,,-18.92,331.85,0.0,,47.0,340.08,2.05,-2.88,0.0,277.59,272.44,2.48,,,47758.0,,,,,,
2021-01-01 04:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-05-05T04:30:19.892325+00:00,1609473600.0,US-TEX-ERCO,329.71,264.07,329.71,,,47207.0,,,0.0,111.0,47096.0,eia.gov,57.34,31.8,57.34,31.8,5125.0,,,6278.0,14994.0,0.0,19.0,20781.0,,10.0,5112.95,0.0,0.0,6263.24,14958.74,0.0,18.96,20732.14,0.0,9.98,0.0,0.0,,,-20.0,329.71,0.0,,-91.0,329.71,2.28,-2.55,0.0,277.32,272.5,3.22,,,47067.0,,,,,,
2021-01-01 05:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2022-05-05T04:33:20.275036+00:00,1609477200.0,US-TEX-ERCO,329.14,264.75,329.11,,349.8,45419.0,,,63.0,19.73,45462.27,eia.gov,56.65,32.07,56.66,32.05,5127.0,,,6405.0,14558.0,0.0,0.0,19316.0,,13.0,5128.84,0.0,0.02,6422.82,14579.41,0.0,0.96,19316.95,0.0,13.25,0.0,0.0,,,-19.73,329.14,0.0,,63.0,349.8,2.54,-2.3,0.0,277.16,272.44,3.84,,,45514.0,,,,,,
2021-01-01 06:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2022-05-05T04:33:20.275036+00:00,1609480800.0,US-TEX-ERCO,330.14,266.04,330.05,,356.49,44378.0,,,151.0,60.83,44468.17,eia.gov,56.59,31.87,56.62,31.83,5126.0,,,6411.0,14126.0,0.0,0.0,18703.0,,12.0,5128.85,0.0,0.05,6452.72,14171.74,0.0,2.21,18700.05,0.0,12.55,0.0,0.0,,,-60.83,330.14,0.0,,151.0,356.49,2.54,-2.32,0.0,277.0,272.22,4.35,,,43915.0,,,,,,
2021-01-01 07:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2022-05-05T04:33:19.989019+00:00,1609484400.0,US-TEX-ERCO,326.95,263.51,326.74,,361.48,43558.0,,,268.0,42.33,43783.67,eia.gov,55.96,32.3,56.0,32.23,5127.0,,,6247.0,14012.0,0.0,28.0,18132.0,,12.0,5139.95,0.0,0.1,6332.86,14112.34,0.0,31.86,18153.59,0.0,12.96,0.0,0.0,,,-42.33,326.94,0.0,,268.0,361.48,2.71,-2.31,0.0,276.85,272.03,0.39,,,42753.0,,,,,,
2021-01-01 08:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2022-05-05T04:33:13.941494+00:00,1609488000.0,US-TEX-ERCO,322.14,259.68,321.98,,367.3,43247.0,,,155.0,39.25,43362.75,eia.gov,55.01,33.15,55.03,33.11,5127.0,,,6186.0,14315.0,0.0,5.0,17603.0,,11.0,5132.77,0.0,0.06,6235.06,14366.56,0.0,7.71,17609.06,0.0,11.54,0.0,0.0,,,-39.25,322.15,0.0,,155.0,367.3,2.86,-2.26,0.0,276.69,271.87,0.7,,,41878.0,,,,,,
2021-01-01 09:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2022-05-05T04:33:13.941494+00:00,1609491600.0,US-TEX-ERCO,321.27,259.03,320.98,,371.24,42918.0,,,252.0,40.0,43130.0,eia.gov,54.82,33.27,54.85,33.21,5127.0,,,6124.0,14248.0,0.0,4.0,17404.0,,11.0,5139.17,0.0,0.09,6208.8,14338.54,0.0,8.61,17422.83,0.0,11.95,0.0,0.0,,,-40.0,321.27,0.0,,252.0,371.24,2.91,-2.23,0.0,276.37,271.46,0.92,,,41500.0,,,,,,
2021-01-01 10:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2022-05-05T04:30:19.892325+00:00,1609495200.0,US-TEX-ERCO,333.08,268.62,332.82,,369.71,42901.0,,,303.0,21.0,43183.0,eia.gov,57.04,31.04,57.1,30.95,5128.0,,,6257.0,13273.0,0.0,5.0,18222.0,,16.0,5145.68,0.0,0.11,6363.56,13392.74,0.0,10.82,18252.99,0.0,17.1,0.0,0.0,,,-21.0,333.07,0.0,,303.0,369.71,3.0,-2.36,0.0,276.23,271.29,1.09,,,41597.0,,,,,,
2021-01-01 11:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2022-05-05T04:33:20.275036+00:00,1609498800.0,US-TEX-ERCO,350.0,283.32,349.88,,367.48,43257.0,,,304.0,34.0,43527.0,eia.gov,59.74,28.43,59.82,28.33,5129.0,,,6833.0,12248.0,0.0,5.0,19020.0,,22.0,5145.0,0.0,0.11,6936.53,12364.92,0.0,11.85,19045.55,0.0,23.04,0.0,0.0,,,-34.0,350.0,0.0,,304.0,367.48,2.96,-2.49,0.0,276.06,271.07,1.18,,,42245.0,,,,,,
